epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,129.762,0.4503,0.64953,0.77282,1.01551,0.99678,1,0.995,0.85634,0.99678,1,0.995,0.8758,0.36943,0.59651,2.11702,0.79961,0.00058218,0.00058218,0.00058218
32,133.919,0.44684,0.7376,0.84493,1.02124,0.99768,1,0.995,0.86536,0.99768,1,0.995,0.86044,0.37777,0.63731,2.09931,0.82558,0.000600972,0.000600972,0.000600972
33,138.082,0.42529,0.60415,0.80136,0.99397,0.98373,0.96001,0.9939,0.83968,0.98373,0.96001,0.9939,0.84537,0.42776,0.68536,2.16087,0.92742,0.000619725,0.000619725,0.000619725
34,142.266,0.45922,0.67136,0.8334,1.03899,0.89514,0.92063,0.95106,0.75271,0.89514,0.92063,0.93229,0.71242,0.47508,0.56043,2.21997,0.98626,0.000638438,0.000638438,0.000638438
35,146.455,0.43071,0.66253,0.7726,1.04212,0.65004,0.69841,0.79826,0.30259,0.51152,0.84127,0.59664,0.26569,1.19446,0.99858,2.80771,1.56105,0.000657111,0.000657111,0.000657111
36,150.691,0.3941,0.77484,0.75305,1.00025,0.60374,0.70136,0.71359,0.21635,0.55228,0.68254,0.57374,0.13832,1.88036,1.97929,3.15035,1.97721,0.000675745,0.000675745,0.000675745
37,154.897,0.40515,0.68409,0.7407,0.98898,0.75157,0.7619,0.80942,0.341,0.56432,0.80188,0.63948,0.18879,1.08619,2.3759,3.01325,1.42263,0.000694339,0.000694339,0.000694339
38,158.981,0.35383,0.58194,0.76254,0.96969,0.72708,0.77778,0.85001,0.52398,0.72582,0.77778,0.8487,0.40475,0.65326,1.37454,2.50055,1.09821,0.000712894,0.000712894,0.000712894
39,163.059,0.41516,0.61778,0.73514,1.01513,0.96433,1,0.99469,0.80566,0.96433,1,0.99469,0.68622,0.47283,1.20202,2.02394,0.93782,0.000731409,0.000731409,0.000731409
40,167.146,0.42026,0.65153,0.76858,0.99724,0.93849,0.96868,0.99225,0.71529,0.93849,0.96868,0.99225,0.67828,0.59296,1.11692,2.1502,1.04826,0.000749884,0.000749884,0.000749884
