epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,563.792,0.40988,0.60373,0.38986,1.00737,0.40846,0.7619,0.7396,0.67039,0.40846,0.7619,0.7396,0.34735,0.49859,2.34425,1.95542,0.85684,0.00174458,0.00174458,0.00174458
131,568.165,0.39219,0.56176,0.39283,1.01383,0.54401,1,0.69965,0.49604,0.54401,1,0.72361,0.33259,0.62297,1.86451,1.86497,1.03917,0.0017426,0.0017426,0.0017426
132,572.273,0.3823,0.55586,0.40173,0.98118,0.71244,1,0.80284,0.56756,0.71585,1,0.84043,0.55353,0.74534,1.01057,1.48201,1.31476,0.00174062,0.00174062,0.00174062
133,576.555,0.44932,0.57973,0.4337,1.04235,0.69909,0.98413,0.78921,0.50244,0.72865,0.98038,0.81737,0.61967,0.90708,0.82415,1.46534,1.59585,0.00173864,0.00173864,0.00173864
134,580.733,0.4464,0.56928,0.48348,1.03631,0.72071,0.98304,0.86392,0.52444,0.72071,0.98304,0.86392,0.56417,1.076,1.02121,1.16716,1.84175,0.00173666,0.00173666,0.00173666
135,584.899,0.43442,0.63825,0.44619,0.98249,0.7427,0.91638,0.91209,0.56224,0.7427,0.91638,0.91209,0.5532,1.16944,1.2238,1.0744,1.94212,0.00173468,0.00173468,0.00173468
136,589.059,0.41478,0.54697,0.42922,1.00908,0.86067,0.98056,0.96365,0.56335,0.86067,0.98056,0.96365,0.60077,1.26986,1.45522,0.90471,2.10765,0.0017327,0.0017327,0.0017327
137,593.529,0.4085,0.58691,0.40524,0.99712,0.96745,0.94356,0.98815,0.58344,0.96745,0.94356,0.98815,0.57202,1.09197,2.0514,1.06529,1.86898,0.00173072,0.00173072,0.00173072
138,597.656,0.42083,0.52246,0.41619,0.9825,0.94175,0.90476,0.97123,0.71743,0.94175,0.90476,0.97123,0.5682,0.6934,2.66351,0.85514,1.23507,0.00172874,0.00172874,0.00172874
139,601.845,0.40883,0.60082,0.3957,0.98354,0.83236,0.87302,0.86537,0.64666,0.81722,0.85714,0.83872,0.42208,0.7149,4.10242,1.13416,1.09343,0.00172676,0.00172676,0.00172676
140,605.994,0.43696,0.56898,0.42385,1.03031,0.94745,0.92063,0.92491,0.71132,0.93111,0.90476,0.89759,0.40694,0.70919,6.05078,0.89282,1.10659,0.00172478,0.00172478,0.00172478
141,610.202,0.40632,0.55304,0.41374,0.98383,0.81286,0.89636,0.90288,0.61491,0.66583,0.60317,0.60213,0.12987,0.97342,11.0069,1.1904,1.41879,0.0017228,0.0017228,0.0017228
142,614.436,0.4053,0.61694,0.40765,0.99428,0.61969,0.30159,0.43393,0.21955,0.15222,0.09524,0.03998,0.00496,1.27211,12.05,2.4625,1.65264,0.00172082,0.00172082,0.00172082
143,618.684,0.39084,0.5958,0.3843,0.96019,0.53706,0.25397,0.29263,0.17862,0.05587,0.04762,0.00861,0.001,1.71863,13.5555,2.95911,2.36111,0.00171884,0.00171884,0.00171884
144,622.883,0.38347,0.58301,0.43496,0.97407,0.46815,0.19048,0.16737,0.07256,0.06127,0.01587,0.00346,0.00041,2.07742,11.2715,3.01824,3.05254,0.00171686,0.00171686,0.00171686
